-------------------------
PID Controller Parameters:
Position PID: P: 1, I: 0, D: 1
Orientation PID: P: 1, I: 0, D: 1
Linear Velocity PID: P: 1, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
-------------------------
[2025-03-29_20-41-31.206] No B-spline trajectory received.
-------------------------
-------------------------
[2025-03-29_20-41-31.306] No B-spline trajectory received.
-------------------------
1743252088.393556723 Received IMU Angular Velocity - [0.0124302, 0.00280257, 0.00609764]
1743252088.449458511 Received IMU Angular Velocity - [-0.00248355, 0.0017373, 0.00609764]
1743252088.453783063 Received IMU Angular Velocity - [0.00603857, 0.000672041, 0.00609764]
1743252088.459569399 Received IMU Angular Velocity - [0.00603857, 0.00386783, 0.00290185]
1743252088.463776933 Received IMU Angular Velocity - [-0.000353022, 0.0049331, 0.00290185]
1743252088.469621762 Received IMU Angular Velocity - [0.0113649, -0.00571955, 0.00716291]
1743252088.473711766 Received IMU Angular Velocity - [0.0134954, -0.0099806, 0.00503238]
1743252088.479541299 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00396711]
1743252088.483989013 Received IMU Angular Velocity - [0.000712243, -0.00145849, 0.00503238]
1743252088.489393895 Received IMU Angular Velocity - [-0.00461408, 0.00919416, 0.00396711]
1743252088.493764078 Received IMU Angular Velocity - [0.00816909, 0.00706363, 0.00609764]
1743252088.499662087 Received IMU Angular Velocity - [0.00816909, 0.000672041, 0.00503238]
1743252088.503719549 Received IMU Angular Velocity - [0.00923436, -0.00465428, 0.00503238]
-------------------------
[2025-03-29_20-41-31.406] No B-spline trajectory received.
-------------------------
1743252088.509579193 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00290185]
1743252088.513786471 Received IMU Angular Velocity - [0.00710383, -0.00891534, 0.00290185]
1743252088.519441101 Received IMU Angular Velocity - [-0.00461408, 0.000672041, 0.00503238]
1743252088.523735831 Received IMU Angular Velocity - [0.000712243, 0.00599836, 0.00609764]
1743252088.529561396 Received IMU Angular Velocity - [0.0113649, 0.0049331, 0.00290185]
1743252088.533851262 Received IMU Angular Velocity - [0.00923436, -0.000393224, -0.00135921]
1743252088.539562466 Received IMU Angular Velocity - [0.00390804, -0.00678481, 0.00396711]
1743252088.543783439 Received IMU Angular Velocity - [0.00923436, -0.0121111, 0.00290185]
1743252088.549680489 Received IMU Angular Velocity - [0.00284277, -0.00571955, 0.00396711]
1743252088.553690561 Received IMU Angular Velocity - [-0.000353022, 0.0017373, 0.00609764]
1743252088.559538589 Received IMU Angular Velocity - [0.00710383, 0.0049331, 0.00609764]
1743252088.563792617 Received IMU Angular Velocity - [0.00603857, 0.00386783, 0.000771319]
1743252088.569429168 Received IMU Angular Velocity - [0.00390804, -0.000393224, 0.00183658]
1743252088.573744985 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00716291]
1743252088.629559769 Received IMU Angular Velocity - [0.0113649, -0.000393224, 0.00290185]
1743252088.673851641 Received IMU Angular Velocity - [0.00603857, -0.00571955, 0.00396711]
1743252088.679538333 Received IMU Angular Velocity - [0.00284277, -0.00465428, 0.00609764]
1743252088.689671428 Received IMU Angular Velocity - [0.00816909, 0.00812889, 0.00290185]
1743252088.693834004 Received IMU Angular Velocity - [0.00816909, 0.00812889, 0.00290185]
1743252088.699575478 Received IMU Angular Velocity - [0.00816909, -0.00358902, 0.00503238]
1743252088.703720903 Received IMU Angular Velocity - [0.00816909, -0.00358902, 0.00503238]
