-------------------------
PID Controller Parameters:
Position PID: P: 1, I: 0, D: 1
Orientation PID: P: 1.5, I: 0, D: 1
Linear Velocity PID: P: 0.75, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
-------------------------
[2025-04-14_20-33-49.982] No B-spline trajectory received.
-------------------------
-------------------------
[2025-04-14_20-33-50.081] No B-spline trajectory received.
-------------------------
1744634027.157244642 Received IMU Angular Velocity - [0.00816909, -0.00891534, 0.00290185]
1744634027.162710305 Received IMU Angular Velocity - [0.00177751, -0.00678481, 0.000771319]
1744634027.171568320 Received IMU Angular Velocity - [0.00603857, -0.00252375, 0.00183658]
1744634027.172719818 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00503238]
1744634027.176797450 Received IMU Angular Velocity - [0.00603857, 0.0049331, -0.000293946]
1744634027.183253467 Received IMU Angular Velocity - [0.0124302, -0.00145849, 0.00290185]
1744634027.187198433 Received IMU Angular Velocity - [0.0102996, -0.00785008, 0.00503238]
1744634027.192513447 Received IMU Angular Velocity - [0.00710383, -0.0121111, 0.00290185]
1744634027.197458814 Received IMU Angular Velocity - [0.00603857, -0.00785008, 0.00290185]
1744634027.202675561 Received IMU Angular Velocity - [0.00710383, 0.000672041, 0.00396711]
1744634027.207019613 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.000771319]
1744634027.212529913 Received IMU Angular Velocity - [0.00710383, 0.00280257, 0.000771319]
1744634027.217000519 Received IMU Angular Velocity - [0.0145607, -0.00358902, 0.00609764]
1744634027.222701595 Received IMU Angular Velocity - [0.00816909, -0.0099806, 0.00716291]
1744634027.226906165 Received IMU Angular Velocity - [0.00390804, -0.00891534, 0.000771319]
1744634027.232726307 Received IMU Angular Velocity - [0.00177751, -0.00465428, 0.00183658]
1744634027.236784612 Received IMU Angular Velocity - [-0.00141829, 0.00280257, 0.00290185]
1744634027.243131930 Received IMU Angular Velocity - [0.00816909, 0.0049331, 0.00396711]
1744634027.247193595 Received IMU Angular Velocity - [0.00816909, 0.000672041, 0.00290185]
1744634027.252561886 Received IMU Angular Velocity - [0.00603857, -0.00571955, 0.00290185]
1744634027.256893970 Received IMU Angular Velocity - [0.00710383, -0.0099806, 0.000771319]
1744634027.262686242 Received IMU Angular Velocity - [0.00284277, -0.00678481, 0.00396711]
1744634027.266858462 Received IMU Angular Velocity - [-0.00141829, -0.000393224, 0.00290185]
1744634027.272683019 Received IMU Angular Velocity - [-0.00354881, 0.0049331, 0.00290185]
1744634027.276803050 Received IMU Angular Velocity - [0.00710383, 0.00706363, 0.00290185]
1744634027.282702836 Received IMU Angular Velocity - [0.0113649, -0.000393224, 0.00716291]
1744634027.286978699 Received IMU Angular Velocity - [0.00923436, -0.00785008, 0.00290185]
1744634027.292691134 Received IMU Angular Velocity - [0.00816909, -0.0110459, 0.000771319]
1744634027.296918711 Received IMU Angular Velocity - [0.0049733, -0.0099806, 0.00183658]
1744634027.302507120 Received IMU Angular Velocity - [0.00177751, -0.00145849, 0.00183658]
1744634027.306909217 Received IMU Angular Velocity - [-0.0120709, 0.0102594, 0.000771319]
1744634027.320031256 Received IMU Angular Velocity - [0.0049733, 0.0017373, 0.00609764]
1744634027.320104245 Received IMU Angular Velocity - [0.0113649, -0.00891534, 0.00396711]
1744634027.322679323 Received IMU Angular Velocity - [0.0145607, -0.00678481, 0.00396711]
1744634027.327330369 Received IMU Angular Velocity - [0.0134954, -0.0099806, 0.00290185]
1744634027.332682437 Received IMU Angular Velocity - [0.00284277, -0.00145849, 0.00290185]
1744634027.336819426 Received IMU Angular Velocity - [-0.00141829, 0.0102594, 0.000771319]
1744634027.342647536 Received IMU Angular Velocity - [0.0049733, 0.0049331, 0.000771319]
1744634027.346979588 Received IMU Angular Velocity - [0.00603857, -0.000393224, 0.00183658]
1744634027.352700023 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00396711]
1744634027.356795606 Received IMU Angular Velocity - [0.0156259, -0.0131764, 0.00290185]
1744634027.362671682 Received IMU Angular Velocity - [0.00284277, -0.0099806, -0.000293946]
1744634027.375495303 Received IMU Angular Velocity - [0.00177751, 0.000672041, -0.00242447]
1744634027.375547460 Received IMU Angular Velocity - [0.00390804, 0.00706363, 0.000771319]
1744634027.376914404 Received IMU Angular Velocity - [0.0049733, 0.00706363, 0.000771319]
1744634027.382507005 Received IMU Angular Velocity - [0.00710383, 0.0017373, -0.000293946]
1744634027.386913038 Received IMU Angular Velocity - [0.0124302, -0.00785008, -0.00135921]
1744634027.392686142 Received IMU Angular Velocity - [0.00603857, -0.0121111, 0.00290185]
1744634027.396905976 Received IMU Angular Velocity - [0.00284277, -0.00678481, 0.00396711]
1744634027.421417142 Received IMU Angular Velocity - [0.0156259, -0.00145849, 0.00609764]
1744634027.422497316 Received IMU Angular Velocity - [0.0102996, -0.00785008, 0.00609764]
1744634027.426983409 Received IMU Angular Velocity - [0.00284277, -0.00785008, 0.00290185]
1744634027.432527372 Received IMU Angular Velocity - [0.000712243, -0.00465428, 0.00396711]
1744634027.436865952 Received IMU Angular Velocity - [-0.00141829, -0.000393224, 0.00609764]
1744634027.442637232 Received IMU Angular Velocity - [0.000712243, 0.00386783, 0.00396711]
1744634027.446922854 Received IMU Angular Velocity - [0.00923436, 0.000672041, 0.00503238]
1744634027.452649785 Received IMU Angular Velocity - [0.0102996, -0.00571955, 0.00609764]
1744634027.456876882 Received IMU Angular Velocity - [0.00923436, -0.00891534, 0.00290185]
1744634027.462649411 Received IMU Angular Velocity - [0.00816909, -0.00785008, 0.00396711]
1744634027.466912570 Received IMU Angular Velocity - [0.00177751, -0.00252375, 0.00290185]
1744634027.472662988 Received IMU Angular Velocity - [-0.00674461, 0.0049331, 0.00183658]
1744634027.476786602 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00609764]
1744634027.482755249 Received IMU Angular Velocity - [0.00923436, -0.000393224, 0.00609764]
1744634027.486847184 Received IMU Angular Velocity - [0.00923436, -0.00571955, 0.00396711]
1744634027.499478814 Received IMU Angular Velocity - [0.00710383, -0.0099806, 0.00290185]
1744634027.576833319 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00503238]
1744634027.626873141 Received IMU Angular Velocity - [0.00603857, -0.0099806, 0.000771319]
1744634027.656743352 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00396711]
1744634027.686827440 Received IMU Angular Velocity - [0.00816909, -0.00252375, 0.00503238]
1744634027.842646414 Received IMU Angular Velocity - [0.0049733, 0.0049331, 0.00503238]
1744634028.032480459 Received IMU Angular Velocity - [0.00710383, -0.00571955, 0.00396711]
1744634028.052658646 Received IMU Angular Velocity - [0.0209523, -0.0099806, 0.00396711]
1744634028.056951948 Received IMU Angular Velocity - [0.0049733, -0.00358902, 0.00396711]
1744634028.082721488 Received IMU Angular Velocity - [0.0102996, -0.00252375, 0.000771319]
1744634028.086740339 Received IMU Angular Velocity - [0.0124302, -0.00785008, 0.00609764]
1744634028.092607519 Received IMU Angular Velocity - [0.00603857, -0.0099806, 0.00183658]
1744634028.096902389 Received IMU Angular Velocity - [0.00284277, -0.00785008, 0.00183658]
1744634028.102510349 Received IMU Angular Velocity - [-0.000353022, -0.00145849, 0.00290185]
1744634028.106824290 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00290185]
1744634028.112657519 Received IMU Angular Velocity - [0.0049733, 0.00280257, 0.00396711]
1744634028.116881641 Received IMU Angular Velocity - [0.00923436, -0.00252375, 0.00183658]
1744634028.122620571 Received IMU Angular Velocity - [0.00923436, -0.00571955, 0.00183658]
1744634028.126835700 Received IMU Angular Velocity - [0.00603857, -0.0110459, 0.000771319]
1744634028.132657603 Received IMU Angular Velocity - [0.00177751, -0.00891534, 0.00290185]
-------------------------
[2025-04-14_20-33-50.183] No B-spline trajectory received.
-------------------------
1744634028.136624008 Received IMU Angular Velocity - [-0.00248355, 0.00280257, 0.00290185]
1744634028.142644077 Received IMU Angular Velocity - [0.000712243, 0.00386783, 0.000771319]
1744634028.147102523 Received IMU Angular Velocity - [0.00710383, 0.00280257, 0.000771319]
1744634028.152455711 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.000771319]
1744634028.156836113 Received IMU Angular Velocity - [0.0145607, -0.0131764, 0.00183658]
1744634028.162603938 Received IMU Angular Velocity - [0.00284277, -0.0142417, 0.000771319]
1744634028.166907223 Received IMU Angular Velocity - [-0.000353022, 0.000672041, 0.00290185]
1744634028.172509264 Received IMU Angular Velocity - [0.0049733, -0.00358902, 0.00183658]
1744634028.176794150 Received IMU Angular Velocity - [0.000712243, 0.00706363, 0.00183658]
1744634028.183750079 Received IMU Angular Velocity - [0.0102996, 0.0049331, 0.00396711]
1744634028.186886475 Received IMU Angular Velocity - [0.0134954, -0.00678481, 0.00503238]
1744634028.192452134 Received IMU Angular Velocity - [0.00603857, -0.00785008, 0.00183658]
1744634028.196756347 Received IMU Angular Velocity - [0.00390804, -0.00785008, 0.000771319]
1744634028.202598760 Received IMU Angular Velocity - [0.00923436, -0.00785008, 0.00290185]
1744634028.206965595 Received IMU Angular Velocity - [-0.0142015, 0.00919416, 0.00290185]
1744634028.212480151 Received IMU Angular Velocity - [0.00710383, 0.00280257, 0.00396711]
1744634028.216797452 Received IMU Angular Velocity - [0.0124302, 0.000672041, 0.00396711]
1744634028.222599451 Received IMU Angular Velocity - [0.000712243, -0.000393224, 0.00396711]
1744634028.226893777 Received IMU Angular Velocity - [0.0124302, -0.0110459, 0.00183658]
1744634028.232616388 Received IMU Angular Velocity - [0.0145607, -0.0110459, 0.00396711]
1744634028.236781408 Received IMU Angular Velocity - [-0.00567934, 0.0017373, 0.00290185]
1744634028.242604974 Received IMU Angular Velocity - [0.00284277, 0.0049331, 0.00183658]
1744634028.247003935 Received IMU Angular Velocity - [0.00710383, 0.0017373, 0.00396711]
1744634028.252644278 Received IMU Angular Velocity - [0.00284277, 0.000672041, 0.00290185]
1744634028.256778835 Received IMU Angular Velocity - [0.00710383, -0.00678481, 0.00290185]
1744634028.262647359 Received IMU Angular Velocity - [0.0113649, -0.0110459, 0.00396711]
1744634028.266948501 Received IMU Angular Velocity - [0.00284277, -0.00252375, 0.00396711]
1744634028.272523343 Received IMU Angular Velocity - [-0.00141829, 0.0017373, 0.00183658]
1744634028.276823044 Received IMU Angular Velocity - [0.0134954, 0.00280257, 0.00396711]
1744634028.282594645 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.00503238]
1744634028.286887691 Received IMU Angular Velocity - [0.0102996, -0.00571955, 0.00183658]
1744634028.292621085 Received IMU Angular Velocity - [0.0145607, -0.0131764, 0.00183658]
1744634028.296948978 Received IMU Angular Velocity - [0.00390804, -0.0099806, 0.00290185]
1744634028.302604487 Received IMU Angular Velocity - [-0.000353022, -0.00252375, 0.000771319]
1744634028.306806018 Received IMU Angular Velocity - [0.00603857, 0.0017373, 0.00396711]
1744634028.312637072 Received IMU Angular Velocity - [0.00390804, 0.00599836, 0.00396711]
1744634028.316963716 Received IMU Angular Velocity - [0.00284277, 0.00280257, 0.00396711]
1744634028.322644729 Received IMU Angular Velocity - [0.00923436, -0.00571955, 0.000771319]
1744634028.327009259 Received IMU Angular Velocity - [0.0134954, -0.0099806, 0.00183658]
1744634028.332453195 Received IMU Angular Velocity - [0.00177751, -0.00891534, 0.00503238]
