-------------------------
PID Controller Parameters:
Position PID: P: 1, I: 0, D: 1
Orientation PID: P: 2.46, I: 0, D: 4
Linear Velocity PID: P: 0.75, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
-------------------------
[2025-04-09_20-16-11.683] No B-spline trajectory received.
-------------------------
-------------------------
[2025-04-09_20-16-11.783] No B-spline trajectory received.
-------------------------
-------------------------
[2025-04-09_20-16-11.883] No B-spline trajectory received.
-------------------------
-------------------------
[2025-04-09_20-16-11.983] No B-spline trajectory received.
-------------------------
1744200969.098130039 Received IMU Angular Velocity - [0.00603857, -0.00145849, 0.00609764]
1744200969.102102213 Received IMU Angular Velocity - [0.0113649, -0.00891534, 0.00716291]
1744200969.108125726 Received IMU Angular Velocity - [0.00603857, -0.00891534, 0.00396711]
1744200969.112149774 Received IMU Angular Velocity - [0.000712243, -0.00358902, 0.00609764]
1744200969.118035010 Received IMU Angular Velocity - [-0.00354881, 0.00280257, 0.00822817]
1744200969.122318427 Received IMU Angular Velocity - [0.00390804, 0.0049331, 0.00716291]
1744200969.128072202 Received IMU Angular Velocity - [0.00603857, 0.00280257, 0.00609764]
1744200969.132423462 Received IMU Angular Velocity - [0.0102996, -0.00252375, 0.00396711]
1744200969.138215926 Received IMU Angular Velocity - [0.00390804, -0.00678481, 0.00609764]
1744200969.142411725 Received IMU Angular Velocity - [0.0049733, -0.00891534, 0.00822817]
1744200969.203676133 Received IMU Angular Velocity - [0.00710383, -0.00571955, 0.00183658]
1744200969.208067331 Received IMU Angular Velocity - [0.0102996, -0.0099806, 0.00396711]
1744200969.212219960 Received IMU Angular Velocity - [0.00390804, -0.00358902, 0.00183658]
1744200969.218062538 Received IMU Angular Velocity - [-0.00141829, 0.00280257, 0.000771319]
1744200969.222396262 Received IMU Angular Velocity - [-0.00248355, 0.0049331, 0.00503238]
1744200969.228067601 Received IMU Angular Velocity - [0.00390804, 0.00386783, 0.00503238]
1744200969.232402349 Received IMU Angular Velocity - [0.0102996, -0.00145849, 0.00183658]
1744200969.238179868 Received IMU Angular Velocity - [0.00603857, -0.00785008, 0.00183658]
1744200969.242309489 Received IMU Angular Velocity - [0.00390804, -0.00785008, 0.00716291]
1744200969.248077824 Received IMU Angular Velocity - [0.000712243, -0.00465428, 0.00716291]
1744200969.252245974 Received IMU Angular Velocity - [0.00177751, 0.00386783, 0.00503238]
1744200969.258047206 Received IMU Angular Velocity - [0.0049733, 0.00706363, 0.00503238]
