-------------------------
PID Controller Parameters:
Position PID: P: 1, I: 0, D: 1
Orientation PID: P: 2, I: 0.1, D: 2
Linear Velocity PID: P: 0.75, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
-------------------------
[2025-04-17_15-04-29.639] No B-spline trajectory received.
-------------------------
-------------------------
[2025-04-17_15-04-29.739] No B-spline trajectory received.
-------------------------
1744873466.833815487 Received IMU Angular Velocity - [-0.00141829, 0.00386783, 0.00396711]
1744873466.837866082 Received IMU Angular Velocity - [-0.00141829, 0.00386783, 0.00396711]
-------------------------
[2025-04-17_15-04-29.839] No B-spline trajectory received.
-------------------------
1744873467.103807489 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00503238]
1744873467.153841640 Received IMU Angular Velocity - [0.00603857, -0.00571955, 0.00609764]
1744873467.198018975 Received IMU Angular Velocity - [0.00284277, -0.00465428, 0.00503238]
1744873467.238024049 Received IMU Angular Velocity - [0.000712243, 0.0049331, 0.00609764]
1744873467.368109979 Received IMU Angular Velocity - [0.00603857, -0.00252375, 0.00396711]
1744873467.388095683 Received IMU Angular Velocity - [0.00923436, -0.00571955, 0.00503238]
1744873467.403639487 Received IMU Angular Velocity - [0.00284277, 0.0017373, 0.00503238]
1744873467.413826328 Received IMU Angular Velocity - [-0.00141829, 0.00599836, 0.00396711]
1744873467.433682589 Received IMU Angular Velocity - [0.00603857, -0.00678481, 0.00716291]
1744873467.438149738 Received IMU Angular Velocity - [-0.000353022, 0.00386783, 0.00503238]
1744873467.443721746 Received IMU Angular Velocity - [0.00390804, 0.00812889, 0.00396711]
1744873467.453856874 Received IMU Angular Velocity - [0.00603857, -0.00252375, 0.00609764]
1744873467.463808829 Received IMU Angular Velocity - [0.00603857, -0.0110459, 0.00396711]
1744873467.487958091 Received IMU Angular Velocity - [0.00816909, -0.00571955, 0.00503238]
1744873467.513820386 Received IMU Angular Velocity - [0.00390804, 0.00812889, 0.00396711]
1744873467.518045802 Received IMU Angular Velocity - [0.000712243, 0.00280257, 0.00396711]
1744873467.523832919 Received IMU Angular Velocity - [0.00710383, -0.00785008, 0.00396711]
1744873467.528027134 Received IMU Angular Velocity - [0.0124302, -0.0121111, 0.00396711]
1744873467.533686856 Received IMU Angular Velocity - [0.00603857, -0.00785008, 0.00290185]
1744873467.543622331 Received IMU Angular Velocity - [-0.00248355, 0.00706363, 0.00503238]
1744873467.558128925 Received IMU Angular Velocity - [0.0102996, -0.00891534, 0.00609764]
1744873467.563820456 Received IMU Angular Velocity - [0.00923436, -0.0110459, 0.00290185]
1744873467.568052111 Received IMU Angular Velocity - [0.000712243, -0.00465428, 0.00183658]
1744873467.573833789 Received IMU Angular Velocity - [-0.00141829, 0.00280257, 0.00290185]
1744873467.577961154 Received IMU Angular Velocity - [0.0049733, 0.00706363, 0.00396711]
1744873467.583812272 Received IMU Angular Velocity - [0.0049733, 0.0049331, 0.00503238]
1744873467.588195324 Received IMU Angular Velocity - [0.0102996, -0.00465428, 0.00396711]
